n,m,vertices,arestas,delta,stairfactor,densidade,grundy,tempo
2,3,8,10,5,4,0.3571,4.0,0.0491
2,4,10,13,6,4,0.2889,4.0,0.0629
2,5,12,16,7,4,0.2424,4.0,0.0572
2,6,14,19,8,4,0.2088,4.0,0.0727
2,7,16,22,9,4,0.1833,4.0,0.0875
2,8,18,25,10,4,0.1634,4.0,0.0874
2,9,20,28,11,4,0.1474,4.0,0.0868
3,3,12,17,6,5,0.2576,4.0,0.4377
3,4,15,22,7,6,0.2095,4.0,0.7215
3,5,18,27,8,6,0.1765,4.0,0.6518
3,6,21,32,9,6,0.1524,4.0,0.8026
3,7,24,37,10,6,0.1341,4.0,1.2642
3,8,27,42,11,6,0.1197,4.0,2.7442
3,9,30,47,12,6,0.108,4.0,1.6489
4,3,16,24,6,6,0.2,5.0,1.1959
4,4,20,31,7,7,0.1632,5.0,1.8785
4,5,24,38,8,7,0.1377,5.0,3.5301
4,6,28,45,9,7,0.119,5.0,3.381
4,7,32,52,10,7,0.1048,5.0,4.7127
4,8,36,59,11,7,0.0937,5.0,5.2777
4,9,40,66,12,7,0.0846,5.0,23.828
5,3,20,31,6,6,0.1632,5.0,3.023
5,4,25,40,7,7,0.1333,5.0,6.8728
5,5,30,49,8,8,0.1126,5.0,8.9107
5,6,35,58,9,8,0.0975,5.0,13.6159
5,7,40,67,10,8,0.0859,5.0,32.295
5,8,45,76,11,8,0.0768,5.0,49.3161
5,9,50,85,12,8,0.0694,5.0,78.8473
6,3,24,38,6,6,0.1377,6.0,9.5815
6,4,30,49,7,7,0.1126,6.0,8.7341
6,5,36,60,8,8,0.0952,6.0,15.2737
6,6,42,71,9,9,0.0825,6.0,0.723
6,7,48,82,10,9,0.0727,6.0,64.4436
6,8,54,93,11,9,0.065,6.0,1.0228
6,9,60,104,12,9,0.0588,6.0,209.3208
7,3,28,45,6,6,0.119,6.0,0.8313
7,4,35,58,7,7,0.0975,6.0,1.996
7,5,42,71,8,8,0.0825,6.0,7.5533
7,6,49,84,9,9,0.0714,6.0,72.3437
7,7,56,97,10,10,0.063,6.0,13.8502
7,8,63,110,11,10,0.0563,6.0,12.9716
7,9,70,123,12,10,0.0509,6.0,55.372
8,3,32,52,6,6,0.1048,6.0,3.1894
8,4,40,67,7,7,0.0859,6.0,0.9798
8,5,48,82,8,8,0.0727,6.0,17.3972
8,6,56,97,9,9,0.063,6.0,95.2578
8,7,64,112,10,10,0.0556,6.0,7.7991
8,8,72,127,11,11,0.0497,6.0,622.954
8,9,80,142,12,11,0.0449,6.0,0.9805
9,3,36,59,6,6,0.0937,6.0,14.4236
9,4,45,76,7,7,0.0768,6.0,1.6039
9,5,54,93,8,8,0.065,6.0,28.9685
9,6,63,110,9,9,0.0563,6.0,20.1874
9,7,72,127,10,10,0.0497,6.0,756.8502
9,8,81,144,11,11,0.0444,6.0,10.4491
9,9,90,161,12,12,0.0402,6.0,46.2144
