prob,vertices,arestas,densidade,pdg,bbgdelta,bbgstf,plidelta,plistf
0.5,25,151,0.5033,900.0,900.0,900.0,900.1998,900.1512
0.5,25,170,0.5667,900.0,900.0,900.0,900.1692,900.1564
0.5,25,142,0.4733,900.0,900.0,900.0,900.1573,900.1562
0.7,25,213,0.71,900.0,900.0,900.0,900.2199,900.1791
0.7,25,213,0.71,900.0,900.0,900.0,900.2241,900.1762
0.7,25,208,0.6933,900.0,900.0,900.0,900.1804,900.1928
0.7,25,199,0.6633,900.0,900.0,900.0,900.244,900.1347
0.7,25,201,0.67,900.0,900.0,900.0,900.2087,900.1477
0.9,25,270,0.9,900.0,900.0,900.0,900.3176,900.2648
0.9,25,266,0.8867,900.0,900.0,900.0,900.2874,900.2133
0.9,25,272,0.9067,900.0,900.0,900.0,900.2522,900.2233
0.9,25,274,0.9133,900.0,900.0,900.0,900.2752,900.2903
0.9,25,276,0.92,900.0,900.0,900.0,900.3682,900.2459
